Coursera User IDs,
ni-001,friendsmoneybytes-002
24736,27964
24767,28018
24776,28141
24798,28169
24800,28203
24826,28382
24899,28391
25106,28443
25177,28496
25295,28545
25299,28644
25336,28735
25366,28779
25442,28878
25475,29031
25481,29079
25522,29133
25698,29152
25710,29189
26346,29288
26426,29394
26430,29422
26457,29425
26510,29447
26512,29470
26693,29527
26938,29571
26940,29592
26964,29621
27010,29727
27061,29923
27117,30054
27138,30131
27183,30151
27257,30254
27260,30404
27268,30606
27289,30749
27295,30799
27318,30841
27325,30901
27375,30908
27433,30970
27530,30984
27628,31087
27655,31156
27771,31292
28059,31387
28105,31599
28333,31752
28355,31762
28361,31813
28393,31912
28427,31985
28496,32127
28514,32228
28622,32245
28631,32294
28779,32328
28878,32399
29273,32519
29372,32812
29413,32840
29419,32863
29465,32875
29583,32998
29621,33182
29672,33212
29781,33298
29923,33355
30056,33411
30131,33488
30237,33533
30254,33630
30344,33656
30404,33670
30462,33676
30473,33708
30488,33726
30496,33828
30737,33877
30850,33923
30908,33952
30963,34009
30970,34065
30984,34121
30992,34264
31008,34349
31023,34384
31087,34489
31093,34597
31130,34665
31248,34757
31267,34766
31387,34928
31759,34969
31813,34975
31917,35098
32020,35131
32127,35165
32239,35200
32311,35260
32461,35354
32565,35394
32638,35539
32697,35543
32723,35627
32742,35720
32772,35811
32810,35834
32811,36062
32840,36408
32875,36528
33079,36631
33161,36836
33354,36867
33364,37105
33393,37111
33433,37179
33462,37196
33488,37213
33708,37244
33727,37256
33923,37263
34062,37300
34078,37387
34213,37507
34433,37540
34502,37592
34522,37687
34731,37831
34773,37949
34823,38014
34924,38041
34994,38084
35086,38206
35131,38257
35169,38332
35192,38352
35196,38426
35210,38432
35237,38661
35468,38679
35617,38680
35679,38796
35811,38837
36028,38923
36215,39013
36312,39134
36335,39190
36460,39192
36572,39203
36631,39383
36845,39506
36867,39692
37105,39733
37171,39795
37179,39804
37213,39838
37263,39967
37275,39991
37504,39999
37507,40303
37671,40332
37687,40394
37689,40558
37705,40825
37754,41066
37789,41140
37821,41191
37837,41207
37914,41270
38100,41444
38116,41501
38124,41679
38206,41809
38221,41827
38332,42026
38335,42258
38377,42304
38426,42378
38680,42383
39237,42413
39292,42434
39344,42479
39444,42511
39447,42632
39508,42634
39733,42664
39795,42695
39836,42726
39857,42741
39863,42742
39914,42747
39999,42831
40064,42860
40090,42893
40303,43125
40378,43144
40498,43178
40620,43240
40762,43371
40768,43404
40771,43406
40860,43418
40889,43705
40908,43938
40948,44201
41025,44290
41178,44344
41319,44374
41435,44410
41501,44519
41659,44546
41679,44561
41765,44610
41767,44625
41809,44802
41967,44823
42123,44837
42153,44951
42165,45019
42395,45020
42434,45123
42511,45225
42575,45226
42695,45328
42747,45436
42831,45699
42933,45735
43088,45770
43316,45894
43374,46134
43397,46141
43404,46277
43406,46492
43500,46592
43583,46616
43625,47046
43804,47090
43867,47227
43922,47256
43949,47268
44034,47276
44093,47316
44201,47384
44255,47406
44273,47530
44290,47535
44344,47536
44374,47640
44546,47648
44609,47658
44610,47709
44648,47772
44821,47774
45019,47808
45039,47843
45114,47907
45118,47919
45120,48006
45201,48017
45209,48020
45250,48077
45293,48192
45298,48240
45436,48358
45573,48461
45628,48479
45867,48548
45894,48578
45995,48659
46016,48812
46103,48862
46141,48890
46152,48930
46162,48965
46269,49062
46277,49114
46292,49124
46332,49149
46386,49153
46387,49365
46397,49395
46506,49397
46539,49438
46541,49504
46592,49594
46700,49611
46786,49670
46820,49701
46879,49731
46979,49739
47195,49768
47202,49798
47227,49849
47236,49953
47786,49965
47805,50098
47834,50151
47863,50219
48006,50234
48061,50249
48175,50267
48192,50331
48275,50383
48297,50490
48313,50663
48461,50702
48488,50793
48512,50837
48547,50904
48573,50930
48797,50988
48934,51003
48971,51009
49022,51109
49062,51171
49124,51227
49153,51285
49315,51363
49369,51511
49395,51523
49531,51539
49545,51553
49594,51702
49602,51713
49649,51754
49670,51769
49684,51837
49739,51973
49780,52071
49809,52216
49881,52282
49953,52293
49965,52315
49969,52407
50016,52413
50153,52498
50219,52530
50242,52567
50331,52621
50422,52790
50490,52879
50524,52881
50912,52921
51003,53024
51037,53028
51064,53091
51171,53109
51207,53173
51227,53219
51244,53289
51269,53319
51272,53378
51285,53385
51391,53451
51459,53617
51494,53621
51529,53644
51535,53669
51667,53734
51713,53836
51754,53878
51857,53942
51899,53948
51973,53992
51990,54049
52021,54163
52069,54315
52087,54335
52150,54396
52194,54427
52211,54448
52212,54475
52216,54505
52282,54517
52293,54549
52410,54560
52413,54830
52447,54844
52452,54907
52582,54977
52616,55064
52755,55075
52921,55138
52995,55148
53378,55169
53465,55259
53466,55327
53556,55352
53573,55454
53605,55465
53734,55472
53755,55506
53844,55548
53871,55602
53883,55607
53942,55866
53948,55924
53971,55955
54103,56065
54163,56078
54211,56086
54315,56171
54401,56188
54448,56268
54505,56405
54517,56739
54830,56781
54873,56782
54907,56986
54968,57052
54995,57150
55055,57313
55138,57408
55165,57500
55242,57546
55305,57692
55352,57724
55382,57810
55424,57855
55480,58224
55552,58373
55595,58533
55628,58622
55882,58670
56030,58694
56424,58696
56437,58713
56494,58756
56623,58761
56739,58817
56746,59317
56862,59670
56957,59724
57034,59772
57037,59910
57061,60073
57085,60158
57173,60176
57237,60220
57347,60240
57371,60594
57408,60628
57460,60778
57466,60797
57546,60851
57642,60940
57699,61093
57718,61225
57798,61322
57864,61348
57887,61469
57899,61510
57910,61595
57966,61753
58084,61805
58160,61878
58176,62313
58224,62325
58354,62479
58373,62599
58636,62693
58642,62753
58803,62794
58817,62990
59027,63292
59080,63301
59195,63466
59333,63476
59623,63480
59669,63735
59724,63755
59772,63854
59851,63879
59910,63890
60014,63917
60073,63977
60256,64023
60425,64091
60578,64094
60594,64110
60689,64116
60735,64157
60747,64253
60778,64269
60838,64429
60981,64505
61033,64630
61319,64637
61331,64658
61373,64695
61469,64816
61584,64823
61595,65001
61635,65047
61753,65082
61891,65110
62079,65262
62100,65376
62175,65383
62181,65451
62186,65453
62221,65504
62364,65509
62628,65656
62693,65728
62753,65818
62794,65823
62829,65876
62878,66195
62910,66204
62912,66336
62959,66472
63242,66539
63466,66600
63476,66728
63596,66732
63687,66741
63735,66909
63890,66955
63917,67005
63956,67127
64051,67200
64094,67289
64116,67290
64120,67382
64142,67397
64253,67517
64386,67575
64551,67579
64747,67622
64816,67627
64965,67706
65047,67721
65082,67756
65125,67812
65209,67830
65329,67974
65395,68053
65643,68092
65652,68157
65818,68173
65851,68256
65891,68401
65939,68429
66195,68447
66472,68476
66539,68530
66600,68692
66660,68823
66771,68829
66772,68906
66816,68985
67004,69316
67005,69331
67012,69409
67200,69491
67267,69640
67371,69659
67382,69807
67386,69881
67423,69998
67442,70029
67445,70039
67487,70154
67527,70263
67575,70427
67579,70459
67666,70740
67712,70849
67863,70894
67899,70978
67998,71113
68124,71205
68155,71260
68213,71269
68327,71435
68429,71533
68476,71614
68585,71627
68641,71663
68663,71817
68664,71928
68692,72124
68828,72158
68833,72173
68906,72196
69018,72272
69046,72353
69175,72740
69178,72873
69368,73350
69422,73523
69447,73658
69460,73709
69653,73853
69856,73932
69857,73955
69864,74010
69944,74042
70023,74057
70029,74095
70034,74108
70154,74115
70394,74404
70410,74483
70459,74557
70532,74675
70661,74676
70747,74700
70854,74701
71034,74795
71264,74915
71269,75038
71423,75052
71460,75106
71614,75146
71629,75287
71644,75360
71663,75444
71946,75475
72071,75613
72160,75739
72173,75775
72255,75776
72392,75819
72586,75873
72873,76054
72997,76160
73026,76233
73049,76403
73467,77476
73553,77583
73658,77599
73938,77973
73955,78028
74042,78040
74057,78069
74127,78331
74378,78393
74405,78540
74475,78650
74675,78654
74700,78684
74795,78799
74895,79084
74976,79085
75060,79113
75106,79127
75245,79196
75252,79599
75419,79968
75439,80061
75444,80120
75575,80174
75613,80312
75756,80366
75775,80476
75873,80532
75923,80638
76122,80765
76160,81015
76180,81160
76199,81285
76250,81528
76313,81562
76320,81652
76328,81805
76355,81886
76625,82040
76742,82133
76800,82160
76805,82200
76951,82382
77444,82844
77482,83088
77718,83233
77764,84030
77775,84127
77834,84886
77970,85374
78040,85493
78065,85516
78069,85761
78117,85855
78348,85867
78635,85945
78650,86186
78654,86281
78659,86555
78684,86561
78687,86613
78736,86704
78954,86757
79127,86990
79199,87170
79224,87234
79374,87255
79599,87337
79638,87400
79786,87438
79927,87497
79954,87605
79966,87728
80061,87884
80120,87898
80174,88212
80351,88502
80355,88646
80408,88719
80476,88755
80532,88823
80710,88828
80765,89381
80908,89461
80929,89526
81236,89537
81254,89549
81281,89601
81367,89760
81369,89950
81481,89955
81528,90048
81658,90398
82160,90829
82163,91273
82372,91326
82487,91656
82613,91696
82622,91775
83144,91907
83168,91935
83214,92150
83233,92189
83292,92442
83306,92467
83599,92477
83720,92480
83742,92528
84030,92597
84206,92711
84278,92726
84315,92775
84495,93022
84645,93098
84716,93156
84812,93261
84842,93265
84993,93730
85064,93789
85197,93989
85315,94161
85352,94176
85728,94269
85761,94292
85942,94471
86068,94647
86074,95284
86128,95391
86281,95502
86297,95504
86439,95567
86502,95713
86532,95954
86655,96012
87160,96113
87170,96198
87337,96221
87448,96315
87597,96493
87699,96520
87720,96629
87859,96709
87864,96918
87884,96936
87894,96938
87906,97018
88006,97031
88094,97115
88466,97178
88502,97653
88646,97703
88701,97774
88755,97798
88861,97941
89036,97987
89242,98035
89426,98276
89502,98332
89537,98904
89601,98985
89621,99015
89742,99430
89853,99613
89955,99748
89983,99916
90388,100001
90723,100063
90891,100111
91064,100144
91082,100262
91099,100391
91120,100411
91620,100556
91696,100560
91803,100668
91849,100920
91935,100927
91982,100984
92023,101034
92133,101215
92157,101216
92189,101304
92201,101375
92341,101426
92405,101506
92470,101625
92488,101632
92597,101677
92726,101901
92846,101941
93261,102010
93272,102157
93520,102230
93557,102297
93600,102376
93759,102507
93770,102572
